# WebDab output on Thu Jun 14 15:40:21 2018
# Format: ISO2;YEAR;SECTOR;POLLUTANT;UNIT;NUMBER/FLAG
ATL;2007;N14 G_Shipping;PM10;Gg;58.0908752855638
NOS;2007;N14 G_Shipping;PM10;Gg;36.8965562616533
MED;2007;N14 G_Shipping;PM10;Gg;95.2901158826621
MED;2007;N14 G_Shipping;PM2.5;Gg;89.2691492744751
NOS;2007;N14 G_Shipping;PM2.5;Gg;34.4868295464825
BAS;2007;N14 G_Shipping;PM2.5;Gg;11.3416497281595
ATL;2007;N14 G_Shipping;PM2.5;Gg;55.2945912777149
BLS;2007;N14 G_Shipping;PM2.5;Gg;6.03380604858979
BAS;2007;N14 G_Shipping;PMcoarse;Gg;0.7732638916707
ATL;2007;N14 G_Shipping;PMcoarse;Gg;2.7962840078489
BLS;2007;N14 G_Shipping;PMcoarse;Gg;0.31951585275517
MED;2007;N14 G_Shipping;PMcoarse;Gg;6.02096660818701
NOS;2007;N14 G_Shipping;PMcoarse;Gg;2.4097267151708
BLS;2007;N14 G_Shipping;SOx;Gg;41.7432145231728
BAS;2007;N14 G_Shipping;SOx;Gg;117.13023307065
NOS;2007;N14 G_Shipping;SOx;Gg;359.247077461732
ATL;2007;N14 G_Shipping;SOx;Gg;420.083853972732
MED;2007;N14 G_Shipping;SOx;Gg;667.505736200841
NOS;2008;N14 G_Shipping;CO;Gg;52.4345726497181
BAS;2008;N14 G_Shipping;CO;Gg;20.5042019556754
MED;2008;N14 G_Shipping;CO;Gg;98.5019949339526
ATL;2008;N14 G_Shipping;CO;Gg;61.5167797090443
BLS;2008;N14 G_Shipping;CO;Gg;7.86547448372757
ATL;2008;N14 G_Shipping;NMVOC;Gg;6.70532898828583
MED;2008;N14 G_Shipping;NMVOC;Gg;10.7367174478008
NOS;2008;N14 G_Shipping;NMVOC;Gg;5.71536841881927
BAS;2008;N14 G_Shipping;NMVOC;Gg;2.23495801316862
BLS;2008;N14 G_Shipping;NMVOC;Gg;0.857336718726305
BLS;2008;N14 G_Shipping;NOx;Gg;94.4094815218642
NOS;2008;N14 G_Shipping;NOx;Gg;701.773818829033
ATL;2008;N14 G_Shipping;NOx;Gg;762.196138347941
BAS;2008;N14 G_Shipping;NOx;Gg;339.550134678527
MED;2008;N14 G_Shipping;NOx;Gg;1247.83780124762
BLS;2008;N14 G_Shipping;PM10;Gg;5.88876857130281
MED;2008;N14 G_Shipping;PM10;Gg;86.3660134829121
NOS;2008;N14 G_Shipping;PM10;Gg;29.7607378018356
ATL;2008;N14 G_Shipping;PM10;Gg;53.96297030486
BAS;2008;N14 G_Shipping;PM10;Gg;12.3706277543376
ATL;2008;N14 G_Shipping;PM2.5;Gg;51.3730815460463
NOS;2008;N14 G_Shipping;PM2.5;Gg;27.7604907683519
BLS;2008;N14 G_Shipping;PM2.5;Gg;5.59248038504974
BAS;2008;N14 G_Shipping;PM2.5;Gg;11.5845781559415
MED;2008;N14 G_Shipping;PM2.5;Gg;80.7912519947131
NOS;2008;N14 G_Shipping;PMcoarse;Gg;2.0002470334837
ATL;2008;N14 G_Shipping;PMcoarse;Gg;2.5898887588137
BLS;2008;N14 G_Shipping;PMcoarse;Gg;0.29628818625307
BAS;2008;N14 G_Shipping;PMcoarse;Gg;0.786049598396101
MED;2008;N14 G_Shipping;PMcoarse;Gg;5.57476148819899
NOS;2008;N14 G_Shipping;SOx;Gg;246.028933132066
MED;2008;N14 G_Shipping;SOx;Gg;591.347040744717
ATL;2008;N14 G_Shipping;SOx;Gg;384.856125265133
BAS;2008;N14 G_Shipping;SOx;Gg;115.873120314412
BLS;2008;N14 G_Shipping;SOx;Gg;37.7786952918831
BAS;2009;N14 G_Shipping;CO;Gg;19.8897464939815
NOS;2009;N14 G_Shipping;CO;Gg;50.5572498508389
MED;2009;N14 G_Shipping;CO;Gg;93.9752885453296
BLS;2009;N14 G_Shipping;CO;Gg;7.62983212634978
ATL;2009;N14 G_Shipping;CO;Gg;59.4229205161798
BAS;2009;N14 G_Shipping;NMVOC;Gg;2.16798236784398
ATL;2009;N14 G_Shipping;NMVOC;Gg;6.4770983362636
NOS;2009;N14 G_Shipping;NMVOC;Gg;5.51074023374144
MED;2009;N14 G_Shipping;NMVOC;Gg;10.2433064514409
BLS;2009;N14 G_Shipping;NMVOC;Gg;0.831651701772126
BAS;2009;N14 G_Shipping;NOx;Gg;333.405580061588
MED;2009;N14 G_Shipping;NOx;Gg;1202.57073736139
BLS;2009;N14 G_Shipping;NOx;Gg;92.0530579480862
ATL;2009;N14 G_Shipping;NOx;Gg;741.257546419296
NOS;2009;N14 G_Shipping;NOx;Gg;683.000590840241
BAS;2009;N14 G_Shipping;PM10;Gg;11.6514226277718
NOS;2009;N14 G_Shipping;PM10;Gg;29.9129605434041
BLS;2009;N14 G_Shipping;PM10;Gg;5.81046398879768
MED;2009;N14 G_Shipping;PM10;Gg;84.8617769024051
ATL;2009;N14 G_Shipping;PM10;Gg;53.2671753223861
ATL;2009;N14 G_Shipping;PM2.5;Gg;50.7120763126961
BAS;2009;N14 G_Shipping;PM2.5;Gg;10.901333285704
BLS;2009;N14 G_Shipping;PM2.5;Gg;5.51809103166987
NOS;2009;N14 G_Shipping;PM2.5;Gg;27.9436363244011
MED;2009;N14 G_Shipping;PM2.5;Gg;79.3622272432321
MED;2009;N14 G_Shipping;PMcoarse;Gg;5.499549659173
ATL;2009;N14 G_Shipping;PMcoarse;Gg;2.55509900969
BLS;2009;N14 G_Shipping;PMcoarse;Gg;0.29237295712781
NOS;2009;N14 G_Shipping;PMcoarse;Gg;1.969324219003
BAS;2009;N14 G_Shipping;PMcoarse;Gg;0.750089342067801
ATL;2009;N14 G_Shipping;SOx;Gg;378.918179262674
BLS;2009;N14 G_Shipping;SOx;Gg;37.1104404260498
NOS;2009;N14 G_Shipping;SOx;Gg;239.397477931549
MED;2009;N14 G_Shipping;SOx;Gg;578.509817403133
BAS;2009;N14 G_Shipping;SOx;Gg;111.224489005175
ATL;2010;N14 G_Shipping;CO;Gg;57.8103087468509
BLS;2010;N14 G_Shipping;CO;Gg;7.448349226184
BAS;2010;N14 G_Shipping;CO;Gg;19.8897464939815
MED;2010;N14 G_Shipping;CO;Gg;90.4889891688156
NOS;2010;N14 G_Shipping;CO;Gg;49.1114062857038
NOS;2010;N14 G_Shipping;NMVOC;Gg;5.35314328514171
BLS;2010;N14 G_Shipping;NMVOC;Gg;0.811870065654056
ATL;2010;N14 G_Shipping;NMVOC;Gg;6.30132365340675
BAS;2010;N14 G_Shipping;NMVOC;Gg;2.16798236784398
MED;2010;N14 G_Shipping;NMVOC;Gg;9.8632998194009
MED;2010;N14 G_Shipping;NOx;Gg;1167.70774359625
NOS;2010;N14 G_Shipping;NOx;Gg;668.54215518889
ATL;2010;N14 G_Shipping;NOx;Gg;725.131428726007
BLS;2010;N14 G_Shipping;NOx;Gg;90.2382289464285
BAS;2010;N14 G_Shipping;NOx;Gg;333.405580061588
BAS;2010;N14 G_Shipping;PM10;Gg;11.0367778277718
ATL;2010;N14 G_Shipping;PM10;Gg;52.0963077618773
NOS;2010;N14 G_Shipping;PM10;Gg;26.7742491352198
BLS;2010;N14 G_Shipping;PM10;Gg;5.77894094487698
MED;2010;N14 G_Shipping;PM10;Gg;82.7802515746931
BLS;2010;N14 G_Shipping;PM2.5;Gg;5.4881441399452
BAS;2010;N14 G_Shipping;PM2.5;Gg;10.317420725704
